code,state,date,year,month,month_name,precipitation
MYS.1531902,Sarawak,2018-03,2018,3,March,303.35
MYS.1531903,Selangor,2018-03,2018,3,March,195.81
MYS.1531904,Terengganu,2018-03,2018,3,March,117.06
MYS.15337336,Labuan,2018-03,2018,3,March,69.07
MYS.1531891,Johor,2018-04,2018,4,April,200.71
MYS.1531892,Kedah,2018-04,2018,4,April,181.31
MYS.1531893,Kelantan,2018-04,2018,4,April,154.69
MYS.1531894,Kuala Lumpur,2018-04,2018,4,April,340.27
MYS.1531895,Melaka,2018-04,2018,4,April,183.39
MYS.1531896,Negeri Sembilan,2018-04,2018,4,April,189.86
MYS.1531897,Pahang,2018-04,2018,4,April,172.95
MYS.1531898,Perak,2018-04,2018,4,April,247.12
MYS.1531899,Perlis,2018-04,2018,4,April,148.88
MYS.1531900,Pulau Pinang,2018-04,2018,4,April,204.06
MYS.1531901,Sabah,2018-04,2018,4,April,213.99
MYS.1531902,Sarawak,2018-04,2018,4,April,313.41
MYS.1531903,Selangor,2018-04,2018,4,April,270.44
MYS.1531904,Terengganu,2018-04,2018,4,April,162.25
MYS.15337336,Labuan,2018-04,2018,4,April,111.69
MYS.1531891,Johor,2018-05,2018,5,May,226.38
MYS.1531892,Kedah,2018-05,2018,5,May,323.6
MYS.1531893,Kelantan,2018-05,2018,5,May,208.16
MYS.1531894,Kuala Lumpur,2018-05,2018,5,May,429.35
MYS.1531895,Melaka,2018-05,2018,5,May,252.41
MYS.1531896,Negeri Sembilan,2018-05,2018,5,May,250.86
MYS.1531897,Pahang,2018-05,2018,5,May,194.67
MYS.1531898,Perak,2018-05,2018,5,May,368.69
MYS.1531899,Perlis,2018-05,2018,5,May,276.02
MYS.1531900,Pulau Pinang,2018-05,2018,5,May,328.7
MYS.1531901,Sabah,2018-05,2018,5,May,262.43
MYS.1531902,Sarawak,2018-05,2018,5,May,365.96
MYS.1531903,Selangor,2018-05,2018,5,May,319.41
MYS.1531904,Terengganu,2018-05,2018,5,May,173.76
MYS.15337336,Labuan,2018-05,2018,5,May,158.34
MYS.1531891,Johor,2018-06,2018,6,June,171.93
MYS.1531892,Kedah,2018-06,2018,6,June,77.29
MYS.1531893,Kelantan,2018-06,2018,6,June,154.25
MYS.1531894,Kuala Lumpur,2018-06,2018,6,June,116.22
MYS.1531895,Melaka,2018-06,2018,6,June,137.97
MYS.1531896,Negeri Sembilan,2018-06,2018,6,June,108.2
MYS.1531897,Pahang,2018-06,2018,6,June,123.58
MYS.1531898,Perak,2018-06,2018,6,June,89.71
MYS.1531899,Perlis,2018-06,2018,6,June,117.66
MYS.1531900,Pulau Pinang,2018-06,2018,6,June,74.18
MYS.1531901,Sabah,2018-06,2018,6,June,184.64
MYS.1531902,Sarawak,2018-06,2018,6,June,214.73
MYS.1531903,Selangor,2018-06,2018,6,June,116.22
MYS.1531904,Terengganu,2018-06,2018,6,June,189.63
MYS.15337336,Labuan,2018-06,2018,6,June,157.13
MYS.1531891,Johor,2018-07,2018,7,July,133.82
MYS.1531892,Kedah,2018-07,2018,7,July,103.34
MYS.1531893,Kelantan,2018-07,2018,7,July,144.28
